EmployeeID,Age,BusinessTravel,MonthlyIncome,JobSatisfaction,Bonus,Department,DistanceFromHome,Education,EducationField,EnvSatisfaction,Gender,JobRole,MaritalStatus,PerformanceRating,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
1,41,Travel_Rarely,5993,4,17979,Sales,1,2,Life Sciences,2,Female,Sales Executive,Single,3,0,6,0,Yes,Yes
2,49,Travel_Frequently,5130,2,20520,Research & Development,8,1,Life Sciences,3,Male,Research Scientist,Married,4,3,10,1,No,No
4,37,Travel_Rarely,2090,3,6270,Research & Development,2,2,Other,4,Male,Laboratory Technician,Single,3,3,0,0,Yes,Yes
5,33,Travel_Frequently,2909,3,8727,Research & Development,3,4,Life Sciences,4,Female,Research Scientist,Married,3,3,8,3,Yes,No
7,27,Travel_Rarely,3468,2,10404,Research & Development,2,1,Medical,1,Male,Laboratory Technician,Married,3,3,2,2,No,No
8,32,Travel_Frequently,3068,4,9204,Research & Development,2,2,Life Sciences,4,Male,Laboratory Technician,Single,3,2,7,3,No,No
10,59,Travel_Rarely,2670,1,10680,Research & Development,3,3,Medical,3,Female,Laboratory Technician,Married,4,3,1,0,Yes,No
11,30,Travel_Rarely,2693,3,10772,Research & Development,24,1,Life Sciences,4,Male,Laboratory Technician,Divorced,4,2,1,0,No,No
12,38,Travel_Frequently,9526,3,38104,Research & Development,23,3,Life Sciences,4,Male,Manufacturing Director,Single,4,2,9,1,No,No
13,36,Travel_Rarely,5237,3,15711,Research & Development,27,3,Medical,3,Male,Healthcare Representative,Married,3,3,7,7,No,No
14,35,Travel_Rarely,2426,2,7278,Research & Development,16,3,Medical,1,Male,Laboratory Technician,Married,3,5,5,0,No,No
15,29,Travel_Rarely,4193,3,12579,Research & Development,15,2,Life Sciences,4,Female,Laboratory Technician,Single,3,3,9,0,Yes,No
16,31,Travel_Rarely,2911,3,8733,Research & Development,26,1,Life Sciences,1,Male,Research Scientist,Divorced,3,1,5,4,No,No
18,34,Travel_Rarely,2661,4,7983,Research & Development,19,2,Medical,2,Male,Laboratory Technician,Divorced,3,2,2,1,No,No
19,28,Travel_Rarely,2028,3,6084,Research & Development,24,3,Life Sciences,3,Male,Laboratory Technician,Single,3,4,4,0,Yes,Yes
20,29,Travel_Rarely,9980,1,29940,Research & Development,21,4,Life Sciences,2,Female,Manufacturing Director,Divorced,3,1,10,8,No,No
21,32,Travel_Rarely,3298,2,9894,Research & Development,5,2,Life Sciences,1,Male,Research Scientist,Divorced,3,5,6,0,Yes,No
22,22,Non-Travel,2935,4,8805,Research & Development,16,2,Medical,4,Male,Laboratory Technician,Divorced,3,2,1,0,Yes,No
23,53,Travel_Rarely,15427,4,46281,Sales,2,4,Life Sciences,1,Female,Manager,Married,3,3,25,3,No,No
24,38,Travel_Rarely,3944,4,11832,Research & Development,2,3,Life Sciences,4,Male,Research Scientist,Single,3,3,3,1,Yes,No
26,24,Non-Travel,4011,3,12033,Research & Development,11,2,Other,1,Female,Manufacturing Director,Divorced,3,5,4,1,No,No
27,36,Travel_Rarely,3407,1,13628,Sales,9,4,Life Sciences,3,Male,Sales Representative,Single,4,4,5,0,No,Yes
28,34,Travel_Rarely,11994,2,35982,Research & Development,7,4,Life Sciences,1,Female,Research Director,Single,3,4,12,2,No,No
30,21,Travel_Rarely,1232,4,3696,Research & Development,15,2,Life Sciences,3,Male,Research Scientist,Single,3,6,0,0,No,No
31,34,Travel_Rarely,2960,1,8880,Research & Development,6,1,Medical,2,Male,Research Scientist,Single,3,2,4,1,No,Yes
32,53,Travel_Rarely,19094,3,57282,Research & Development,5,3,Other,3,Female,Manager,Divorced,3,3,14,4,No,No
33,32,Travel_Frequently,3919,1,15676,Research & Development,16,1,Life Sciences,2,Female,Research Scientist,Single,4,5,10,6,Yes,Yes
35,42,Travel_Rarely,6825,2,20475,Sales,8,4,Marketing,3,Male,Sales Executive,Married,3,2,9,4,No,No
36,44,Travel_Rarely,10248,4,30744,Research & Development,7,4,Medical,1,Female,Healthcare Representative,Married,3,4,22,5,No,No
38,46,Travel_Rarely,18947,1,56841,Sales,2,4,Marketing,2,Female,Manager,Single,3,2,2,2,No,No
39,33,Travel_Rarely,2496,4,7488,Research & Development,2,3,Medical,3,Male,Laboratory Technician,Single,3,3,1,0,No,No
40,44,Travel_Rarely,6465,4,19395,Research & Development,10,4,Other,4,Male,Healthcare Representative,Married,3,5,4,1,Yes,No
41,30,Travel_Rarely,2206,3,6618,Research & Development,9,2,Medical,4,Male,Laboratory Technician,Single,3,5,10,1,No,No
42,39,Travel_Rarely,2086,4,6258,Sales,5,3,Technical Degree,4,Male,Sales Representative,Married,3,6,1,0,No,Yes
45,24,Travel_Rarely,2293,4,6879,Research & Development,1,3,Medical,2,Male,Research Scientist,Married,3,2,2,2,Yes,Yes
46,43,Travel_Rarely,2645,3,7935,Research & Development,2,2,Medical,4,Female,Research Scientist,Divorced,3,3,5,1,No,No
47,50,Travel_Rarely,2683,3,8049,Sales,3,2,Marketing,1,Male,Sales Representative,Married,3,2,3,0,Yes,Yes
49,35,Travel_Rarely,2014,4,6042,Sales,2,3,Marketing,4,Female,Sales Representative,Married,3,3,2,2,No,No
51,36,Travel_Rarely,3419,1,10257,Research & Development,5,4,Life Sciences,2,Female,Research Scientist,Married,3,3,1,0,Yes,No
52,33,Travel_Frequently,5376,1,16128,Sales,1,3,Life Sciences,3,Female,Sales Executive,Married,3,3,5,1,No,No
53,35,Travel_Rarely,1951,4,5853,Research & Development,4,2,Other,3,Male,Laboratory Technician,Divorced,3,3,1,0,No,No
54,27,Travel_Rarely,2341,1,7023,Research & Development,2,4,Life Sciences,4,Female,Laboratory Technician,Divorced,3,6,1,0,No,No
55,26,Travel_Rarely,2293,3,6879,Research & Development,25,3,Life Sciences,1,Male,Laboratory Technician,Single,3,2,1,0,No,Yes
56,27,Travel_Frequently,8726,3,26178,Sales,8,3,Life Sciences,4,Male,Sales Executive,Single,3,0,9,1,No,No
57,30,Travel_Frequently,4011,4,16044,Research & Development,1,2,Medical,3,Female,Laboratory Technician,Single,4,2,12,3,No,No
58,41,Travel_Rarely,19545,3,58635,Research & Development,12,3,Technical Degree,2,Female,Research Director,Married,3,0,22,15,No,Yes
60,34,Non-Travel,4568,3,18272,Sales,23,4,Marketing,2,Male,Sales Executive,Single,4,2,9,8,No,No
61,37,Travel_Rarely,3022,2,12088,Research & Development,19,2,Life Sciences,2,Male,Research Scientist,Married,4,1,1,0,No,No
62,46,Travel_Frequently,5772,4,23088,Sales,5,4,Marketing,1,Male,Sales Executive,Single,4,4,9,0,Yes,No
63,35,Travel_Rarely,2269,4,6807,Research & Development,8,1,Life Sciences,4,Male,Laboratory Technician,Married,3,2,1,0,No,No
64,48,Travel_Rarely,5381,3,16143,Research & Development,1,2,Life Sciences,1,Male,Laboratory Technician,Single,3,2,1,0,Yes,Yes
65,28,Travel_Rarely,3441,3,10323,Research & Development,5,4,Technical Degree,3,Male,Laboratory Technician,Single,3,3,2,2,Yes,Yes
68,44,Travel_Rarely,5454,1,21816,Sales,1,5,Marketing,2,Female,Sales Executive,Divorced,4,2,4,1,Yes,No
70,35,Non-Travel,9884,1,29652,Research & Development,11,2,Medical,3,Male,Healthcare Representative,Married,3,3,4,2,Yes,No
72,26,Travel_Rarely,4157,4,12471,Sales,23,3,Marketing,3,Female,Sales Executive,Married,3,2,2,0,Yes,No
73,33,Travel_Frequently,13458,4,40374,Research & Development,1,2,Life Sciences,1,Female,Research Director,Single,3,1,15,8,Yes,No
74,35,Travel_Frequently,9069,1,36276,Sales,18,5,Life Sciences,2,Male,Sales Executive,Married,4,3,9,1,No,No
75,35,Travel_Rarely,4014,1,12042,Research & Development,23,4,Medical,3,Female,Laboratory Technician,Married,3,3,2,2,Yes,No
76,31,Travel_Rarely,5915,4,23660,Research & Development,7,4,Life Sciences,4,Male,Laboratory Technician,Divorced,4,3,7,1,No,No
77,37,Travel_Rarely,5993,3,17979,Research & Development,1,4,Life Sciences,1,Male,Manufacturing Director,Divorced,3,2,7,0,No,No
78,32,Travel_Rarely,6162,4,24648,Research & Development,1,3,Medical,1,Male,Manufacturing Director,Married,4,3,9,7,Yes,No
79,38,Travel_Frequently,2406,4,7218,Research & Development,29,5,Life Sciences,4,Female,Laboratory Technician,Single,3,2,10,9,No,No
80,50,Travel_Rarely,18740,3,56220,Research & Development,7,2,Medical,2,Female,Research Director,Divorced,3,2,27,13,Yes,No
81,59,Travel_Rarely,7637,1,22911,Sales,25,3,Life Sciences,1,Female,Sales Executive,Single,3,3,21,7,No,No
83,36,Travel_Rarely,10096,3,30288,Research & Development,8,3,Technical Degree,3,Female,Healthcare Representative,Divorced,3,2,17,12,No,No
84,55,Travel_Rarely,14756,3,44268,Research & Development,8,3,Medical,4,Female,Manager,Divorced,3,2,5,0,Yes,No
85,36,Travel_Frequently,6499,2,19497,Research & Development,11,3,Life Sciences,2,Male,Manufacturing Director,Single,3,3,6,0,No,No
86,45,Travel_Rarely,9724,1,29172,Research & Development,7,3,Life Sciences,2,Male,Research Scientist,Divorced,3,2,1,0,No,No
88,35,Travel_Frequently,2194,1,6582,Research & Development,1,3,Medical,2,Male,Research Scientist,Married,3,2,3,1,No,No
90,36,Travel_Rarely,3388,3,10164,Research & Development,9,3,Medical,4,Male,Research Scientist,Married,3,0,1,0,Yes,Yes
91,59,Travel_Frequently,5473,3,16419,Sales,1,1,Life Sciences,1,Female,Sales Executive,Single,3,2,4,1,No,No
94,29,Travel_Rarely,2703,2,10812,Research & Development,2,3,Life Sciences,3,Male,Research Scientist,Married,4,3,5,0,No,No
95,31,Travel_Rarely,2501,2,7503,Research & Development,1,4,Medical,3,Male,Research Scientist,Single,3,4,1,1,No,No
96,32,Travel_Rarely,6220,2,18660,Research & Development,1,3,Life Sciences,2,Male,Research Scientist,Married,3,3,10,0,No,No
97,36,Travel_Rarely,3038,4,9114,Research & Development,6,3,Life Sciences,2,Female,Laboratory Technician,Married,3,3,1,0,No,No
98,31,Travel_Rarely,4424,4,17696,Research & Development,8,4,Life Sciences,3,Female,Manufacturing Director,Single,4,2,11,1,No,No
